Age;Job;Marital;Education;Default;Balance;HHInsurance;CarLoan;Communication;LastContactDay;NoOfContacts;DaysPassed;PrevAttempts;Outcome;CarInsurance;ConnectionTime;DayPeriod;LastContactMonthNum
29;4;2;3;0;637;1;0;0;3;1;119;1;0;1;340.0;2;6
32;9;2;3;0;1625;0;0;0;22;1;109;1;0;1;796.0;2;5
61;4;2;3;0;2;0;0;0;12;1;114;3;0;1;131.0;2;8
49;1;1;2;0;2039;1;0;0;6;1;169;2;0;1;451.0;2;5
80;5;1;2;0;8304;0;0;1;8;3;91;13;1;1;606.0;2;9
63;5;1;2;0;2896;0;0;0;1;1;119;2;1;1;304.0;2;7
54;9;1;2;0;0;0;0;1;30;3;84;3;1;1;766.0;1;4
32;0;2;2;0;6981;1;0;0;2;1;194;3;0;0;154.0;1;6
40;0;1;2;0;2574;1;0;0;15;1;176;1;0;1;432.0;1;5
31;0;1;2;0;457;1;0;0;21;1;171;5;0;0;283.0;2;11
46;2;0;2;0;1187;0;1;0;13;1;327;1;0;0;92.0;2;10
55;9;0;2;0;3450;0;0;0;10;1;183;1;0;1;169.0;2;2
34;4;2;3;0;11350;1;0;0;15;1;176;1;0;0;153.0;2;5
19;8;2;1;0;103;0;0;0;18;2;95;4;0;0;177.0;2;1
31;4;1;3;0;1331;0;0;0;30;1;86;3;1;1;297.0;1;4
62;5;1;2;0;569;0;0;0;4;5;184;1;1;1;94.0;2;2
33;4;1;3;0;1514;0;0;0;10;1;728;2;0;1;447.0;2;8
57;1;1;1;0;3109;0;0;0;15;2;105;2;1;1;107.0;2;9
37;9;0;3;0;1762;1;0;0;16;1;317;1;0;0;309.0;2;4
33;1;2;1;0;60;1;0;0;14;1;290;2;0;0;74.0;2;5
52;9;1;3;0;0;0;0;0;9;3;94;4;1;0;145.0;2;8
36;9;2;3;0;391;1;0;0;15;1;350;8;0;0;185.0;1;5
57;4;0;3;0;854;0;0;0;27;4;92;1;0;1;700.0;1;8
62;5;1;2;0;569;0;0;0;4;1;1;8;1;1;288.0;2;8
61;6;0;3;0;52587;0;0;0;15;3;189;1;1;1;394.0;2;2
54;7;0;2;0;0;0;0;0;18;1;290;3;1;1;362.0;1;3
29;6;2;3;0;1579;0;0;0;13;1;92;5;1;1;190.0;1;10
50;9;0;2;0;0;0;0;0;29;1;120;2;0;1;159.0;1;9
45;0;1;2;0;205;0;0;0;4;1;90;2;1;1;552.0;2;5
30;4;2;3;0;985;1;0;0;25;1;94;2;1;1;304.0;2;10
41;8;2;2;0;595;1;0;0;18;1;107;2;1;0;22.0;2;9
43;4;1;3;0;3186;0;0;0;16;1;88;1;0;1;380.0;2;11
31;1;1;1;0;290;1;0;0;15;1;291;3;0;0;148.0;2;5
41;1;1;1;0;3658;1;0;0;9;1;330;1;0;0;268.0;2;4
46;4;1;3;0;699;0;0;0;30;1;87;1;0;1;970.0;2;4
51;0;1;2;0;423;1;1;0;16;5;183;2;0;0;84.0;1;7
55;9;0;3;0;0;0;0;0;17;2;91;1;1;1;134.0;1;11
34;7;1;2;0;790;1;0;0;20;2;350;1;0;0;579.0;2;4
32;4;2;3;0;623;0;0;0;6;3;194;2;0;1;335.0;1;7
45;4;1;3;0;160;0;0;0;10;2;194;1;1;1;182.0;1;11
55;5;0;3;0;0;0;0;0;18;1;370;1;1;1;616.0;2;5
26;8;2;3;0;641;1;0;0;15;1;368;1;0;0;55.0;2;5
33;9;1;2;0;218;1;1;0;10;1;161;4;0;0;162.0;2;8
43;9;2;2;0;11115;0;0;0;23;1;74;2;1;1;476.0;2;10
41;4;2;2;0;942;0;0;0;27;1;188;1;1;1;143.0;2;10
48;1;1;2;0;1730;1;0;0;4;1;178;2;0;1;489.0;2;2
46;9;1;2;0;6993;1;0;0;17;3;148;1;1;0;326.0;1;4
61;1;1;1;0;5;0;0;0;6;2;94;3;1;1;562.0;2;8
48;10;0;2;0;201;0;0;0;10;2;92;2;1;1;406.0;2;2
60;5;0;2;0;514;0;0;0;15;2;213;10;1;1;187.0;1;10
31;8;2;3;0;4951;0;0;0;17;3;81;3;0;1;285.0;2;9
47;7;1;2;0;1160;1;0;0;3;2;221;4;0;0;117.0;1;2
25;6;2;3;0;42;1;0;0;5;1;94;1;1;1;149.0;2;6
23;7;2;2;0;279;1;0;0;18;1;370;1;0;1;843.0;2;5
30;4;2;3;0;2344;1;0;0;20;2;92;3;0;0;316.0;2;10
30;8;2;2;0;1779;0;0;0;11;1;433;1;1;1;233.0;2;8
32;4;2;3;0;933;1;0;0;12;4;307;1;0;0;147.0;2;5
42;1;1;2;0;3;1;0;1;20;1;190;1;0;0;47.0;2;11
38;9;2;2;0;1255;1;0;0;6;1;170;4;0;0;120.0;2;5
33;7;1;2;0;386;0;0;0;12;1;92;4;0;1;253.0;2;11
47;1;1;2;0;1568;1;0;0;19;1;262;7;1;1;388.0;1;2
31;9;2;3;0;438;1;0;0;20;1;100;2;0;0;165.0;2;11
27;1;2;2;0;535;0;0;0;16;3;95;4;1;1;265.0;2;8
53;4;1;2;0;2240;1;0;0;2;2;385;1;1;1;282.0;2;6
32;4;1;2;0;625;1;0;0;2;1;56;2;0;0;352.0;2;6
41;0;0;2;0;4;1;0;0;5;1;211;1;0;0;232.0;1;2
23;8;2;2;0;480;0;0;0;9;2;182;1;0;1;742.0;2;2
64;5;1;2;0;4787;0;0;0;28;1;182;1;1;1;392.0;2;4
35;3;1;3;0;1265;1;0;0;15;5;179;4;0;1;326.0;2;5
33;0;1;2;0;1737;0;0;0;14;2;106;2;0;0;228.0;2;8
51;1;0;1;0;-19;1;0;0;13;1;296;11;0;1;829.0;2;5
77;5;1;1;0;992;0;0;0;27;2;182;2;0;0;147.0;2;4
45;7;0;2;0;608;1;1;0;7;3;323;30;0;1;1135.0;2;5
33;7;1;2;0;387;1;0;0;7;2;138;2;0;0;327.0;2;4
35;4;2;3;0;62;1;0;0;5;4;15;3;1;0;214.0;1;5
33;1;2;3;0;129;1;1;0;30;1;161;1;0;1;482.0;2;4
32;0;2;2;0;678;1;0;0;4;1;246;4;0;1;1579.0;2;2
26;9;2;2;0;1231;1;0;0;4;1;93;7;1;1;230.0;2;9
29;3;2;3;0;19;0;0;0;3;1;230;1;1;1;274.0;2;12
33;0;2;3;0;272;1;0;0;1;2;92;3;1;1;293.0;1;9
32;7;1;2;0;983;1;0;0;20;2;133;1;0;1;500.0;2;11
34;9;1;2;0;1072;0;1;0;5;1;252;2;0;0;136.0;2;2
48;9;1;2;0;1981;1;0;0;16;3;238;2;1;0;291.0;1;3
40;1;1;1;0;830;1;0;0;13;3;370;2;0;1;873.0;2;5
33;4;2;3;0;718;1;0;0;6;1;98;2;1;1;122.0;1;4
42;1;1;2;0;2913;0;0;0;3;1;195;1;0;1;705.0;2;6
56;1;1;1;0;284;0;1;1;3;4;204;4;0;0;124.0;2;2
51;7;2;2;0;516;1;0;0;13;1;363;1;0;0;370.0;2;5
31;9;2;2;0;846;0;0;0;26;3;205;2;0;1;405.0;2;5
38;7;1;2;0;775;0;0;0;12;3;182;2;1;1;1835.0;2;2
32;9;2;2;0;6402;1;0;0;6;1;167;1;1;0;158.0;2;5
43;4;1;3;0;1429;1;0;0;7;1;169;3;1;1;1030.0;1;5
27;1;2;2;0;535;0;0;0;15;1;91;2;1;1;171.0;2;2
34;0;1;1;0;412;1;0;0;13;1;287;2;0;0;217.0;2;5
72;5;1;2;0;5715;0;0;0;17;5;184;3;1;1;1127.0;1;11
38;2;0;2;0;1190;1;0;0;7;4;186;5;1;0;347.0;2;12
61;5;1;2;0;86;0;0;0;25;1;94;1;1;1;639.0;2;1
36;4;1;3;0;203;0;0;0;25;1;88;1;1;1;255.0;2;1
29;4;2;3;0;560;0;0;0;5;1;307;1;0;1;459.0;2;4
44;4;2;2;0;-228;1;1;0;13;1;362;2;0;0;38.0;1;5
68;5;1;3;0;2812;0;0;0;4;1;1;7;1;1;651.0;2;8
56;4;1;3;0;505;1;1;0;17;1;172;2;0;0;171.0;1;11
22;8;2;2;0;216;0;0;0;8;1;187;1;1;1;363.0;1;2
31;10;1;2;0;314;1;0;0;20;3;178;7;0;1;1341.0;2;11
39;7;1;2;0;25;1;1;0;12;1;351;3;0;1;658.0;2;5
53;4;1;3;0;1356;1;0;0;9;2;96;4;0;0;371.0;2;11
34;1;1;2;0;320;1;0;0;12;1;828;2;0;1;352.0;2;8
37;4;1;3;0;2987;1;0;0;15;1;91;9;0;1;93.0;2;2
34;1;1;2;0;320;1;0;0;12;1;92;3;1;1;413.0;1;11
43;7;1;2;0;774;0;0;0;24;1;91;2;1;1;482.0;2;6
45;0;0;2;0;397;1;1;0;22;1;95;2;1;1;582.0;2;5
47;0;0;2;0;2232;0;0;0;27;1;103;1;1;1;439.0;1;5
39;0;1;2;0;3732;1;0;0;18;1;181;2;0;0;515.0;2;11
50;4;1;3;0;5969;0;0;0;25;1;544;2;0;1;455.0;2;1
64;5;1;1;0;12067;0;0;1;30;2;92;2;1;1;367.0;1;7
47;9;1;2;0;1167;1;0;0;2;3;73;2;1;0;139.0;1;2
40;9;1;3;0;1293;0;0;0;16;3;105;2;1;1;1702.0;2;9
47;4;1;3;0;109;1;0;0;16;2;268;1;0;0;91.0;1;4
30;9;2;2;0;-522;1;1;0;5;2;286;6;0;1;670.0;1;5
43;1;1;2;0;171;1;0;0;13;1;364;1;0;0;96.0;2;5
34;7;0;2;0;797;1;0;0;20;1;126;1;0;0;88.0;2;11
25;4;2;3;0;2305;0;0;0;12;2;104;2;0;0;222.0;1;8
59;10;1;2;0;1625;0;0;0;4;1;180;2;1;1;198.0;2;8
29;4;2;3;0;874;1;0;0;16;1;103;1;1;1;152.0;1;9
58;5;0;3;0;5253;0;0;0;9;4;295;3;0;0;162.0;1;4
44;9;1;3;0;1818;1;1;0;3;1;92;4;0;1;508.0;2;2
30;0;2;2;0;3528;0;0;0;4;1;92;2;0;1;250.0;2;8
44;1;2;1;0;36;1;0;0;15;1;371;2;0;1;551.0;2;5
34;1;1;2;0;262;0;0;0;15;2;106;1;1;1;89.0;1;9
33;4;2;3;0;1781;0;0;0;8;2;183;1;1;1;611.0;1;10
77;5;1;1;0;2223;0;0;1;10;2;187;1;1;0;365.0;2;8
26;2;2;2;0;101;1;0;0;5;1;268;1;0;1;810.0;2;2
30;1;1;2;0;501;1;1;0;20;1;177;1;0;1;994.0;1;11
33;0;1;2;0;920;0;0;0;16;1;95;2;0;1;130.0;1;11
53;4;1;1;0;798;1;0;1;2;1;217;2;0;0;45.0;2;2
51;4;1;3;0;2635;0;0;0;1;1;98;2;0;1;181.0;2;9
49;7;1;2;0;202;1;0;0;17;2;104;1;0;1;651.0;2;11
32;4;2;3;0;4262;1;0;0;20;1;152;1;0;0;246.0;2;4
25;9;2;2;0;1105;1;0;0;30;1;13;1;0;0;195.0;2;4
79;5;0;2;0;631;0;0;1;9;5;182;3;0;0;440.0;2;8
59;9;1;1;0;4198;0;0;0;14;1;91;10;1;1;309.0;2;1
28;1;2;2;0;-46;1;0;0;1;2;91;12;1;1;154.0;2;6
58;7;0;2;0;462;0;0;0;13;1;93;1;1;1;495.0;2;11
35;9;2;2;0;1183;1;0;0;21;3;185;2;0;0;21.0;2;11
40;4;2;3;0;3840;1;0;0;24;2;409;2;1;1;232.0;1;9
38;4;1;3;0;93;1;0;0;25;1;272;4;0;0;74.0;2;5
32;4;0;3;0;530;1;0;0;24;1;114;2;0;0;91.0;2;9
53;1;1;2;0;6112;0;0;0;30;1;86;1;1;0;211.0;1;4
56;2;0;1;0;29;0;0;0;29;2;227;1;0;0;52.0;2;1
30;4;2;3;0;697;0;0;0;28;2;181;8;1;1;545.0;1;4
80;5;1;1;0;155;0;0;1;12;1;93;2;1;1;290.0;2;3
33;9;1;3;0;525;1;1;0;30;1;247;1;0;0;499.0;2;1
54;4;1;3;0;8295;0;0;0;2;2;119;1;1;1;849.0;2;10
56;7;2;2;0;-40;1;0;0;15;1;368;2;0;1;311.0;2;5
37;1;2;2;0;2235;1;0;0;20;2;151;2;0;0;419.0;1;4
24;8;2;2;0;23878;0;0;0;26;1;97;1;1;1;133.0;1;5
37;4;1;3;0;630;0;0;0;30;1;87;1;1;1;315.0;2;4
71;5;1;3;0;653;0;0;1;3;1;189;1;1;1;471.0;2;9
37;9;1;2;0;474;1;0;0;14;1;322;1;0;0;85.0;2;4
33;7;1;2;0;255;1;1;0;5;4;165;4;0;0;237.0;1;5
37;4;2;3;0;62;1;0;0;2;2;272;8;1;1;428.0;1;8
43;7;1;3;0;4216;0;0;0;24;2;195;2;1;1;150.0;2;12
38;1;1;1;0;3289;0;0;0;20;2;164;2;0;0;340.0;2;11
30;1;2;1;0;694;1;1;0;18;1;306;4;1;0;599.0;2;5
33;4;1;2;0;2858;1;1;0;12;1;298;5;0;0;175.0;2;5
36;4;2;3;0;2646;0;0;0;13;1;182;10;1;1;169.0;2;10
53;7;0;2;0;36;1;1;0;2;1;417;1;1;1;25.0;2;7
43;1;1;2;0;1109;1;0;0;2;3;264;2;0;0;115.0;2;2
72;5;2;3;0;1285;0;0;1;2;5;98;2;0;0;179.0;2;11
47;4;1;3;0;4693;0;1;0;12;1;97;3;1;1;89.0;2;11
57;9;0;2;0;77;1;1;0;29;3;246;2;0;0;168.0;2;1
31;7;0;1;0;459;1;0;0;7;1;293;1;1;1;623.0;2;5
33;7;1;2;0;386;0;0;0;12;1;181;5;1;1;317.0;2;5
42;10;1;2;0;1289;0;0;0;15;4;415;2;0;1;250.0;2;7
60;4;1;3;0;3401;0;0;0;30;1;270;1;0;1;294.0;1;10
35;6;2;3;0;1129;1;0;0;21;2;184;2;0;0;64.0;2;11
48;4;0;3;0;-130;1;0;0;29;2;61;9;0;0;110.0;2;9
30;0;2;2;0;315;1;0;0;14;3;346;4;0;1;884.0;2;5
23;8;2;2;0;431;0;0;0;15;3;186;2;1;1;201.0;2;2
62;5;1;2;0;1495;0;0;0;13;1;57;2;1;1;896.0;2;10
34;1;2;2;0;-90;1;0;0;18;1;370;1;0;0;20.0;2;5
61;5;1;2;0;938;0;0;0;15;2;183;3;1;1;392.0;2;7
31;9;2;3;0;882;0;0;0;4;1;93;1;1;1;293.0;2;9
37;1;1;1;0;655;1;0;0;5;2;258;4;0;0;127.0;2;2
36;7;1;1;0;413;1;0;1;13;1;176;1;0;0;60.0;2;5
49;4;2;3;0;7443;0;0;1;19;5;211;2;0;1;293.0;2;6
31;6;2;3;0;1815;0;0;1;30;1;80;1;1;0;107.0;2;4
29;4;2;3;0;502;0;0;0;8;1;87;5;0;1;968.0;1;7
38;0;1;3;0;1988;0;0;0;2;1;67;4;1;1;103.0;2;6
37;10;1;2;0;1978;0;0;0;9;1;182;1;1;1;404.0;1;9
29;9;2;2;0;-219;1;0;0;15;3;368;2;0;0;85.0;2;5
37;4;1;1;0;1506;0;0;0;2;3;80;3;1;0;101.0;2;11
36;4;1;3;0;495;0;0;0;5;3;97;2;1;1;157.0;2;8
32;4;1;3;0;302;1;1;0;23;1;384;2;0;1;61.0;2;2
42;4;0;3;0;5037;0;0;0;16;6;84;14;1;0;100.0;2;7
73;5;1;3;0;448;0;0;0;22;1;90;1;1;0;68.0;2;6
36;9;1;2;0;1368;0;0;0;1;1;292;5;0;1;516.0;2;6
40;5;1;1;0;407;1;0;0;2;1;271;1;0;0;200.0;2;2
50;1;1;1;0;12519;1;0;0;21;3;34;1;0;1;615.0;2;11
48;1;1;2;0;1730;1;0;0;4;1;89;3;1;1;361.0;2;5
30;4;0;3;0;415;1;1;0;6;1;343;4;0;1;984.0;1;5
27;1;1;2;0;484;1;0;0;15;1;361;2;0;0;210.0;2;5
37;7;1;2;0;345;1;1;0;16;1;148;1;0;0;114.0;2;4
29;0;2;2;0;464;0;0;0;9;2;91;3;1;1;208.0;2;11
70;5;0;2;0;6850;0;0;1;3;1;182;4;0;0;228.0;1;9
42;0;1;2;0;16517;0;0;0;15;5;203;4;0;0;549.0;1;3
45;2;1;3;0;3689;1;0;0;7;1;169;5;0;0;397.0;2;5
50;4;1;3;0;558;0;0;0;9;1;683;6;0;1;464.0;1;7
42;7;1;2;0;1376;1;0;0;2;2;92;4;1;1;271.0;2;6
24;8;2;2;0;822;0;0;0;27;1;91;2;0;1;184.0;2;10
36;9;0;2;0;69;1;0;0;12;2;369;3;0;0;61.0;1;5
37;4;1;3;0;9269;1;1;0;17;1;149;2;0;0;71.0;1;4
30;4;2;3;0;5359;0;0;0;26;1;191;3;1;1;427.0;2;2
38;0;1;2;0;1767;1;0;0;9;4;239;7;1;1;483.0;2;7
32;1;1;2;0;897;1;0;0;7;3;322;2;0;0;293.0;2;4
63;5;0;3;0;0;0;0;0;13;1;181;2;1;1;263.0;1;5
46;4;1;3;0;273;1;0;0;15;1;105;3;0;1;1962.0;1;9
32;7;2;2;0;-23;0;0;0;11;1;305;1;0;0;185.0;2;5
32;9;2;3;0;5514;0;0;0;22;1;182;1;1;1;319.0;2;4
31;4;2;3;0;533;0;0;1;12;1;90;10;1;1;372.0;2;5
39;4;2;3;0;11971;1;0;1;15;10;179;5;0;0;75.0;1;5
35;6;2;3;0;353;0;0;0;11;1;183;1;1;1;352.0;1;2
45;7;1;2;0;-75;1;0;0;2;1;252;1;0;0;134.0;1;2
36;4;1;3;0;255;0;0;0;25;6;95;4;1;1;242.0;2;8
34;1;1;2;0;1454;1;0;0;11;2;297;2;0;1;231.0;1;2
31;1;1;2;0;1664;1;0;0;20;1;182;1;1;0;158.0;2;4
64;6;1;3;0;661;0;0;0;21;2;294;2;0;1;367.0;2;12
69;9;1;3;0;482;0;0;0;29;1;267;1;0;1;478.0;2;7
32;4;1;3;0;6138;0;0;0;29;2;90;9;0;1;519.0;1;7
57;4;1;3;0;334;1;0;0;15;2;365;2;0;0;169.0;2;5
27;7;2;2;0;1347;0;0;1;28;1;193;11;1;1;824.0;1;12
43;9;1;2;0;0;1;1;0;4;8;204;5;0;0;539.0;2;2
53;9;1;2;0;137;0;1;0;18;1;176;1;0;0;52.0;2;11
33;0;1;2;0;-370;1;0;0;7;1;345;1;0;1;261.0;2;5
34;7;1;2;0;1337;0;0;0;12;2;104;1;1;1;255.0;2;8
63;4;1;3;0;5112;0;0;1;13;2;95;3;0;1;2184.0;2;11
40;10;2;3;0;7968;0;0;0;3;1;93;1;1;1;733.0;2;9
37;1;1;2;0;604;1;0;0;7;1;495;1;0;1;371.0;2;10
28;6;1;3;0;0;1;0;0;4;3;196;4;0;1;546.0;2;2
52;4;1;3;0;583;0;0;0;17;1;91;2;0;1;209.0;1;11
21;8;2;1;0;1596;0;0;0;26;1;93;2;0;0;115.0;1;8
34;0;1;2;0;21;0;0;0;17;1;346;3;0;0;332.0;2;4
37;9;2;2;0;5436;1;0;0;6;11;351;1;0;0;7.0;2;5
44;4;1;2;0;282;0;0;0;9;2;154;3;1;1;700.0;2;3
47;1;1;2;0;-216;1;0;0;6;1;282;3;0;0;197.0;2;5
34;4;1;3;0;0;1;0;0;7;1;99;2;1;1;262.0;2;8
33;6;2;3;0;658;1;0;0;21;1;208;1;1;1;307.0;1;10
56;4;1;3;0;616;0;0;0;13;2;105;2;1;1;293.0;1;8
60;0;0;2;0;-41;1;1;0;6;1;262;1;0;1;1658.0;2;2
34;9;2;2;0;1866;0;0;0;8;3;185;1;0;0;134.0;2;5
34;1;1;1;0;2490;1;0;0;19;2;180;1;0;0;185.0;1;11
